資料集名稱,資料集描述,資料集代碼,資料集所屬單位,資料集類別,環境保護計畫類別,聯合國永續發展目標,主要資料欄位,資料來源,授權方式,授權說明網址,編碼格式,更新頻率,最後更新時間,聯絡人姓名,聯絡人電話,聯絡人電子郵件,標籤
鹿林山紫外線即時監測資料,環境部和中央氣象局設於全國紫外線測站每小時發布之紫外線監測資料（環境部及中央氣象局資料已整合成1個檔）。自2020/07/01起不再提供非環境部產製之外機關資料。,UV_S_01,環境部環境資訊科技司,大氣,大氣環境,良好健康和福祉,SiteName(測站名稱)、Uvi(紫外線指數)、Unit(發布單位)、County(縣市)、WGS84_LON(WGS84經度)、WGS84_LAT(WGS84緯度)、DataCreationDate(資料發佈時間),空氣品質監測網,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1時,"2026-04-12 08:42:03.000000",吳小姐,(02)2311-7722#2311,peishan.wu@moenv.gov.tw,"紫外線,即時監測"
全國各縣市清潔隊資料,全國各縣市清潔隊聯絡資料,WR_S_04,環境部資源循環署,其他,"環境資源調查與監測,資源循環",永續城市與社區,CountyCode(縣市代碼)、OrganizationName(清潔隊名稱)、OrganizationAddress(清潔隊地址)、OrganizationTel(清潔隊電話),資源回收管理資訊系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:11:14.000000",廖小姐,(02)2370-5888#30218,ptliao@moenv.gov.tw,清潔隊
應回收廢棄物處理業者資料,公告應回收廢棄物處理業資料,WR_S_03,環境部資源循環署,其他,"環境資源調查與監測,資源循環","產業創新與基礎建設,永續城市與社區",Year(年度)、FactoryName(事業名稱)、ban(統一編號)、DetailAddr(事業地址)、SaveAddr(貯存地址)、Tel(聯絡電話)、RegistNo(登記證證號)、ItemName(回收材質種類),,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:11:13.000000",廖小姐,(02)2370-5888#30218,ptliao@moenv.gov.tw,資源回收
執行機關資源回收設施統計資料,"提供全國執行機關資源回收設施統計資料(年度、資源回收車總數、資源 回收分類貯存場總數)。",WR_P_77,環境部資源循環署,其他,"環境資源調查與監測,資源循環","產業創新與基礎建設,永續城市與社區",Year(年度)、RecycleCar(資源回收車數量)、RecycleSite(資源回收分類貯存場數量),,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:11:13.000000",廖小姐,(02)2370-5888#30218,ptliao@moenv.gov.tw,"執行機關貯存場,資源回收車"
應回收廢棄物回收業者資料,公告應回收廢棄物之回收業資料,WR_S_02,環境部資源循環署,其他,"環境資源調查與監測,資源循環","產業創新與基礎建設,永續城市與社區",Year(年度)、FactoryName(事業名稱)、ban(統一編號)、DetailAddr(事業地址)、SaveAddr(貯存地址)、Tel(聯絡電話)、RegistNo(登記證證號)、ItemName(回收材質種類),,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:11:13.000000",廖小姐,(02)2370-5888#30218,ptliao@moenv.gov.tw,資源回收
環境部事業廢棄物再利用機構資料,提供環境部再利用試驗計畫、個案再利用、通案及再利用機構登記檢核資料，包括機構基本資料、再利用廢棄物種類、再利用量及有效期限。,WR_P_60,環境部資源循環署,污染防治,資源循環,,county(縣市別)、fac_no(機構管編)、fac_name(機構名稱)、fac_addr(機構地址)、audittype(再利用類別)、userclass(目的事業主管機關)、deadline_start_date(有效起始日期)、deadline_end_date(有效到期日期)、waste_no(再利用廢棄物代碼)、waste_name(再利用廢棄物名稱)、waste_source(廢棄物來源)、reu_purp_notes(再利用用途)、waste_reu_value(最大再用利量)、totalqty_unit(最大再用利量單位),,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:11:12.000000",張先生,02-2370-5888#30521,chiuta.chang@moenv.gov.tw,廢棄物
通訊傳播事業廢棄物再利用機構資料,提供通傳會再利用試驗計畫、個案再利用、通案及再利用機構登記檢核資料，包括機構基本資料、再利用廢棄物種類、再利用量及有效期限。,WR_P_59,環境部資源循環署,污染防治,資源循環,,county(縣市別)、fac_no(機構管編)、fac_name(機構名稱)、fac_addr(機構地址)、audittype(再利用類別)、userclass(目的事業主管機關)、deadline_start_date(有效起始日期)、deadline_end_date(有效到期日期)、waste_no(再利用廢棄物代碼)、waste_name(再利用廢棄物名稱)、waste_source(廢棄物來源)、reu_purp_notes(再利用用途)、waste_reu_value(最大再用利量)、totalqty_unit(最大再用利量單位),,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:11:12.000000",張先生,02-2370-5888#30521,chiuta.chang@moenv.gov.tw,廢棄物
農業事業廢棄物再利用機構資料,提供農委會再利用試驗計畫、個案再利用、通案及再利用機構登記檢核資料，包括機構基本資料、再利用廢棄物種類、再利用量及有效期限。,WR_P_56,環境部資源循環署,污染防治,資源循環,,county(縣市別)、fac_no(機構管編)、fac_name(機構名稱)、fac_addr(機構地址)、audittype(再利用類別)、userclass(目的事業主管機關)、deadline_start_date(有效起始日期)、deadline_end_date(有效到期日期)、waste_no(再利用廢棄物代碼)、waste_name(再利用廢棄物名稱)、waste_source(廢棄物來源)、reu_purp_notes(再利用用途)、waste_reu_value(最大再用利量)、totalqty_unit(最大再用利量單位),,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:11:11.000000",張先生,02-2370-5888#30521,chiuta.chang@moenv.gov.tw,廢棄物
菸酒事業廢棄物再利用機構資料,提供財政部再利用試驗計畫、個案再利用、通案及再利用機構登記檢核資料，包括機構基本資料、再利用廢棄物種類、再利用量及有效期限。,WR_P_58,環境部資源循環署,污染防治,資源循環,,county(縣市別)、fac_no(機構管編)、fac_name(機構名稱)、fac_addr(機構地址)、audittype(再利用類別)、userclass(目的事業主管機關)、deadline_start_date(有效起始日期)、deadline_end_date(有效到期日期)、waste_no(再利用廢棄物代碼)、waste_name(再利用廢棄物名稱)、waste_source(廢棄物來源)、reu_purp_notes(再利用用途)、waste_reu_value(最大再用利量)、totalqty_unit(最大再用利量單位),,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:11:11.000000",張先生,02-2370-5888#30521,chiuta.chang@moenv.gov.tw,廢棄物
科學工業事業廢棄物再利用機構資料,提供科技部再利用試驗計畫、個案再利用、通案及再利用機構登記檢核資料，包括機構基本資料、再利用廢棄物種類、再利用量及有效期限。,WR_P_57,環境部資源循環署,污染防治,資源循環,,county(縣市別)、fac_no(機構管編)、fac_name(機構名稱)、fac_addr(機構地址)、audittype(再利用類別)、userclass(目的事業主管機關)、deadline_start_date(有效起始日期)、deadline_end_date(有效到期日期)、waste_no(再利用廢棄物代碼)、waste_name(再利用廢棄物名稱)、waste_source(廢棄物來源)、reu_purp_notes(再利用用途)、waste_reu_value(最大再用利量)、totalqty_unit(最大再用利量單位),,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:11:11.000000",張先生,02-2370-5888#30521,chiuta.chang@moenv.gov.tw,廢棄物
